year,largestock,smallstock,ltcorpbond,ltgovtbond,intergovtbond,tbill,inflation
1926,0.116074444,0.002757587,0.073744405,0.077695239,0.053840989,0.032674694,-0.014889897
1927,0.37479911,0.220830477,0.074436369,0.089448628,0.045162415,0.031340782,-0.020866273
1928,0.436052079,0.39720971,0.028411562,0.000827246,0.009266505,0.03535598,-0.009595655
1929,-0.084091045,-0.513525186,0.032730041,0.034099467,0.060174711,0.047397678,0.00208239
1930,-0.248950061,-0.381435443,0.079750525,0.046429195,0.067247606,0.0242618,-0.06028008
1931,-0.433485834,-0.497566032,-0.01850982,-0.053157349,-0.023115233,0.01085244,-0.095177909
1932,-0.081988943,-0.053821036,0.108202241,0.168452113,0.088133306,0.009537651,-0.102967246
1933,0.53970078,1.428527779,0.103760563,-0.000693026,0.018341907,0.003003642,0.005104456
1934,-0.014418471,0.242316174,0.138434461,0.100149979,0.089961418,0.001801411,0.02030403
1935,0.476563572,0.402028125,0.096148561,0.049960876,0.06993414,0.00140089,0.030000156
1936,0.339224021,0.647807749,0.067442837,0.074958063,0.030550615,0.001801451,0.012057766
1937,-0.350227601,-0.580071064,0.027467315,0.002326474,0.015847386,0.002903723,0.030999946
1938,0.311368113,0.328182239,0.061326554,0.055118173,0.062367405,-0.00040014,-0.027793121
1939,-0.004223731,0.003637365,0.03966276,0.059497143,0.045337865,9.997E-05,-0.004823731
1940,-0.097788363,-0.051533668,0.033940852,0.060922431,0.029633718,-0.00020001,0.009588231
1941,-0.115766722,-0.089965089,0.027314184,0.009318208,0.004908343,0.0004,0.097174178
1942,0.203455122,0.444937153,0.025981138,0.032178429,0.019240224,0.002803553,0.092966251
1943,0.259075922,0.883889813,0.028325935,0.0208789,0.028042909,0.003605946,0.031714266
1944,0.197299026,0.537087095,0.047321891,0.028150892,0.018145511,0.003304985,0.02116082
1945,0.364122472,0.736214169,0.040756743,0.107309039,0.022109922,0.003204684,0.022451617
1946,-0.08074325,-0.116338897,0.017229556,-0.000841924,0.010106821,0.003605946,0.181746262
1947,0.056965582,0.009014471,-0.023363835,-0.026274661,0.009226538,0.005011295,0.090085377
1948,0.055108225,-0.021057141,0.041358787,0.033850148,0.018642406,0.008129886,0.027064951
1949,0.18786214,0.197543186,0.033087624,0.06439053,0.023336235,0.011156624,-0.018074341
1950,0.31740853,0.387367435,0.021151812,0.00050483,0.007017435,0.012167286,0.057950121
1951,0.240159419,0.078113185,-0.02690309,-0.039421605,0.003638749,0.014900682,0.0586908
1952,0.183510094,0.030179051,0.035209224,0.011693102,0.016343957,0.01652361,0.008876455
1953,-0.00975133,-0.064814815,0.034114425,0.036258194,0.032312718,0.018250471,0.0063726
1954,0.526222003,0.605543839,0.053858485,0.071776468,0.026966095,0.00863378,-0.00501346
1955,0.315391373,0.204262357,0.00479737,-0.012834489,-0.006605743,0.015711204,0.003585777
1956,0.065553745,0.042960947,-0.068146268,-0.055942165,-0.004212908,0.024674238,0.028617997
1957,-0.107914266,-0.145836453,0.087135458,0.074664669,0.078369972,0.031546885,0.030190887
1958,0.433716443,0.648751471,-0.022169912,-0.061062035,-0.0129824,0.015303139,0.017706247
1959,0.119768462,0.164016706,-0.009667896,-0.022663557,-0.003833126,0.02979803,0.015084432
1960,0.004642981,-0.032863622,0.090664915,0.137933943,0.117577585,0.026718544,0.014776774
1961,0.268861031,0.320745864,0.048183189,0.009678427,0.018749974,0.021203049,0.006708682
1962,-0.087277729,-0.119071746,0.079450363,0.068829489,0.055786143,0.027336311,0.012147239
1963,0.227756746,0.235613302,0.021948748,0.012143645,0.016405924,0.031135408,0.016611723
1964,0.165077291,0.235177083,0.047723132,0.035117029,0.040299577,0.03525707,0.012058439
1965,0.12452316,0.417575842,-0.004567939,0.00701937,0.010093783,0.039186368,0.019349989
1966,-0.100478096,-0.070181751,0.00195292,0.036450083,0.046863768,0.047503392,0.033481002
1967,0.239871106,0.835750967,-0.049505868,-0.091765265,0.009992527,0.042089732,0.030407241
1968,0.110814211,0.359708062,0.025739132,-0.002573777,0.045297911,0.052208764,0.047183237
1969,-0.084861515,-0.250515211,-0.080904314,-0.050736015,-0.007393674,0.065697037,0.061027699
1970,0.038741765,-0.174309925,0.18371379,0.121021807,0.168485208,0.06516706,0.054822827
1971,0.14307235,0.165163701,0.11012586,0.132367216,0.087411933,0.043856089,0.033489208
1972,0.19017968,0.044292193,0.072597517,0.056824421,0.051726568,0.038357114,0.034217649
1973,-0.146859785,-0.309009334,0.011394965,-0.011103879,0.046101896,0.069303155,0.087752274
1974,-0.26483782,-0.199434613,-0.030617513,0.043426493,0.056778992,0.080092995,0.122003053
1975,0.372206723,0.528030463,0.146442563,0.091868877,0.078203009,0.057984316,0.07013399
1976,0.23920195,0.573634828,0.186468694,0.16764511,0.128774545,0.050847104,0.048224458
1977,-0.071500404,0.2538686,0.017097783,-0.006988548,0.01395362,0.051264955,0.067689302
1978,0.065597436,0.234716187,-0.000703563,-0.01165869,0.034859667,0.071858414,0.090319356
1979,0.186108167,0.434584137,-0.042004105,-0.012503116,0.04097176,0.103833443,0.133077301
1980,0.324886237,0.398445151,-0.02756526,-0.039529864,0.038959495,0.112587335,0.124063824
1981,-0.064285502,0.138789699,-0.012361932,0.018569706,0.094387451,0.147174748,0.089416273
1982,0.21553206,0.280052679,0.425618993,0.403503691,0.291034692,0.10534508,0.03865361
1983,0.225470919,0.396671362,0.062585764,0.006519063,0.074103837,0.087957322,0.038024043
1984,0.062541101,-0.066690528,0.168601577,0.15492498,0.140251501,0.098370531,0.039480668
1985,0.317387881,0.246618904,0.300908898,0.30971145,0.20337282,0.077202909,0.037836218
1986,0.186680656,0.068512999,0.198474772,0.245212379,0.151276642,0.061570406,0.011411751
1987,0.052628147,-0.092974102,-0.002675911,-0.027165685,0.028921437,0.054724253,0.044149116
1988,0.165986173,0.228742631,0.107041209,0.096665852,0.061028249,0.063575362,0.044155518
1989,0.316715069,0.101787058,0.162313634,0.180974998,0.132709962,0.083750461,0.046443645
1990,-0.030971497,-0.215610654,0.067827349,0.0616925,0.097324573,0.078381181,0.060985397
1991,0.30471124,0.446342803,0.198889668,0.1926494,0.154553044,0.05598602,0.030711638
1992,0.076544516,0.233493788,0.093934337,0.080535796,0.072008701,0.035049948,0.028862338
1993,0.100793563,0.209785207,0.13185004,0.182345818,0.112370061,0.028977782,0.027527263
1994,0.013161624,0.031056014,-0.057610696,-0.077770776,-0.051278971,0.039080561,0.02671203
1995,0.375749778,0.344601828,0.272042355,0.316564929,0.168083497,0.055986491,0.025374475
1996,0.229560407,0.17622321,0.01401567,-0.009184554,0.020936035,0.051999286,0.0332807
1997,0.33377176,0.227753011,0.129494216,0.15865712,0.083687853,0.052522825,0.017120474
1998,0.285792719,-0.073065782,0.10755564,0.130704037,0.102184659,0.048546774,0.016012267
1999,0.210449175,0.297878503,-0.074542595,-0.089899321,-0.017620698,0.046877488,0.026797516
2000,-0.090873318,-0.035923411,0.128545365,0.214934372,0.12601231,0.058827814,0.033770135
2001,-0.118826746,0.227705056,0.106475509,0.037027522,0.076139312,0.038248009,0.015540735
2002,-0.220978604,-0.132777623,0.16330627,0.178413928,0.12953829,0.016320752,0.023928407
2003,0.286907139,0.60699613,0.052725551,0.014422527,0.023972804,0.010247725,0.018794958
2004,0.108727266,0.183909316,0.087211543,0.084973184,0.02267338,0.011863454,0.032518504
2005,0.048913612,0.056882031,0.058722731,0.078075593,0.013450936,0.029797743,0.034158746
2006,0.157938939,0.161699649,0.032355359,0.011759539,0.031485663,0.048129681,0.025487804
2007,0.054967867,-0.052211486,0.025890017,0.098927963,0.100484231,0.04666772,0.040782456
2008,-0.369947247,-0.367232991,0.087896464,0.258617706,0.131248251,0.015912653,0.001027493
2009,0.26447408,0.280860671,0.030012264,-0.148982727,-0.024058322,0.00090035,0.027187705
